die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARTMULDUALCOREALL_VMIN_K_BGNCBB_SNO_AMX_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_partmuldualcoreall_x_atpg_stack_x_normal_main_list,kill,partmuldualcorec0,atpg,ph3,4
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARTMULDUALCOREALL_VMIN_K_BGNCBB_SNO_AMX_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_partmuldualcoreall_x_atpg_stack_x_normal_main_list,kill,partmuldualcorec0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARTMULDUALCOREALL_VMIN_K_BGNCBB_SNO_AMX_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_partmuldualcoreall_x_atpg_stack_x_normal_main_list,kill,partmuldualcorec0,atpg,ph5,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK6_VMIN_K_BGNCBB_SSN_VNN_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack6_x_atpg_ph1_x_normal_main_list,kill,parbasefabricgpio,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK6_VMIN_K_BGNCBB_SSN_VNN_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack6_x_atpg_ph1_x_normal_main_list,kill,parbasefabricsacenter,atpg,ph1,38
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK6_VMIN_K_BGNCBB_SSN_VNN_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack6_x_atpg_ph1_x_normal_main_list,kill,parbasefabricsaleft,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK6_VMIN_K_BGNCBB_SSN_VNN_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack6_x_atpg_ph1_x_normal_main_list,kill,parbasefabricsaright,atpg,ph1,8
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK6_VMIN_K_BGNCBB_SSN_VNN_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack6_x_atpg_ph1_x_normal_main_list,kill,parbasefuse,atpg,ph1,30
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputefabriccorec0,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputehbic0,atpg,ph1,11
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputefabriccorec1,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputehbic1,atpg,ph1,11
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputefabriccorec2,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputehbic2,atpg,ph1,11
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputefabriccorec3,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_STACK2SSN_VMIN_K_BGNCBB_SSN_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_stack2ssn_x_atpg_ph1_x_normal_main_list,kill,parcomputehbic3,atpg,ph1,11
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGIPRING0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasegip_x_atpg_ph1_x_normal_main_list,kill,parbasegip,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGIPRING1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasegip_x_atpg_ph1_x_normal_main_list,kill,parbasegip,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGIPRING2_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasegip_x_atpg_ph1_x_normal_main_list,kill,parbasegip,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGIPRING3_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasegip_x_atpg_ph1_x_normal_main_list,kill,parbasegip,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESANTARING0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parbasesanta_x_atpg_ph1_x_normal_main_list,kill,parbasesanta,atpg,ph1,62
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESANTARING1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parbasesanta_x_atpg_ph1_x_normal_main_list,kill,parbasesanta,atpg,ph1,62
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESANTARING2_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parbasesanta_x_atpg_ph1_x_normal_main_list,kill,parbasesanta,atpg,ph1,62
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESANTARING3_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parbasesanta_x_atpg_ph1_x_normal_main_list,kill,parbasesanta,atpg,ph1,62
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESBORING0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasesbo_x_atpg_ph1_x_normal_main_list,kill,parbasesbo,atpg,ph1,18
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESBORING1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasesbo_x_atpg_ph1_x_normal_main_list,kill,parbasesbo,atpg,ph1,18
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESBORING2_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parbasesbo_x_atpg_ph1_x_normal_main_list,kill,parbasesbo,atpg,ph1,18
